miss 2606:4700::6812:bc37 https://windowscentral.com 0 percent in 0 bytes
match 104.18.188.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.188.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.189.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.188.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.189.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.188.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.189.55 https://windowscentral.com 100 percent in 500 bytes
match 104.18.189.55 https://windowscentral.com 100 percent in 500 bytes
